Likely true (according to Katie Pearson)?,candidate record citation,candidate query,candidate record reference,accession,specimen_voucher,definition,derived_from,OBI specimen
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/JX162832,OBI,"Origanum majorana voucher OBI clone 1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/025fa542c660f0fb06b7a97b3046c90020f4f1de851d5fe0c8be60a45dc4bbff!/L7943765-L7943821,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/JX162833,OBI,"Origanum majorana voucher OBI clone 2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/025fa542c660f0fb06b7a97b3046c90020f4f1de851d5fe0c8be60a45dc4bbff!/L7943822-L7943878,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/JX162834,OBI,"Origanum majorana voucher OBI clone 3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/025fa542c660f0fb06b7a97b3046c90020f4f1de851d5fe0c8be60a45dc4bbff!/L7943879-L7943935,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/JX162835,OBI,"Origanum majorana voucher OBI clone 4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/025fa542c660f0fb06b7a97b3046c90020f4f1de851d5fe0c8be60a45dc4bbff!/L7943936-L7943992,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/JX162836,OBI,"Origanum majorana voucher OBI clone 5 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/025fa542c660f0fb06b7a97b3046c90020f4f1de851d5fe0c8be60a45dc4bbff!/L7943993-L7944049,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/JX162837,OBI,"Origanum majorana voucher OBI clone 6 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/025fa542c660f0fb06b7a97b3046c90020f4f1de851d5fe0c8be60a45dc4bbff!/L7944050-L7944106,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/JX162838,OBI,"Origanum majorana voucher OBI clone 7 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/025fa542c660f0fb06b7a97b3046c90020f4f1de851d5fe0c8be60a45dc4bbff!/L7944107-L7944163,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/JX162839,OBI,"Origanum majorana voucher OBI clone 8 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/025fa542c660f0fb06b7a97b3046c90020f4f1de851d5fe0c8be60a45dc4bbff!/L7944164-L7944220,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/JX162840,OBI,"Origanum majorana voucher OBI clone 9 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/025fa542c660f0fb06b7a97b3046c90020f4f1de851d5fe0c8be60a45dc4bbff!/L7944221-L7944277,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/JX162841,OBI,"Origanum majorana voucher OBI clone 10 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/025fa542c660f0fb06b7a97b3046c90020f4f1de851d5fe0c8be60a45dc4bbff!/L7944278-L7944334,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == ""25383"")'",https://cch2.org/portal/collections/individual/index.php?occid=198762,https://www.ncbi.nlm.nih.gov/nuccore/JF951103,25383 (OBI),"Phalaris lemmonii isolate LEM25383 trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; plastid.",https://linker.bio/line:gz:hash://sha256/80f3e67d9a954cc8ca7223a10d1951c1ff84ca2844e7840bcb32eeac61181964!/L1402706-L1402773,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]44899[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=214463,https://www.ncbi.nlm.nih.gov/nuccore/MT735449,A.C. Sanders et al. 6885 (OBI044899),"Angelica scabrida voucher A.C. Sanders et al. 6885 (OBI044899) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2247286-L2247339,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]44899[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=214463,https://www.ncbi.nlm.nih.gov/nuccore/MT765845,A.C. Sanders et al. 6885 (OBI044899),"Angelica scabrida A.C. Sanders et al. 6885 (OBI044899) ndhF-rpl32 intergenic spacer, partial sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2928607-L2928664,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]44899[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=214463,https://www.ncbi.nlm.nih.gov/nuccore/MT766024,A.C. Sanders et al. 6885 (OBI044899),"Angelica scabrida A.C. Sanders et al. 6885 (OBI044899) tRNA-Asp (trnD-GUC), tRNA-Tyr (trnY-GUA), tRNA-Glu (trnE-UUC), and tRNA-Thr (trnT-GGU) genes, complete sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2944464-L2944579,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]44899[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=214463,https://www.ncbi.nlm.nih.gov/nuccore/MT766162,A.C. Sanders et al. 6885 (OBI044899),"Angelica scabrida A.C. Sanders et al. 6885 (OBI044899) rpl32-trnL intergenic spacer and tRNA-Leu (trnL) gene, partial sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2956987-L2957040,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/MK097012,SAV:423OBI1,"Alyssum wulfenianum subsp. ovirense clone 423OBI1_ribotype1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",https://linker.bio/line:gz:hash://sha256/f1ad641a935d65f60519263a905c49ce54d10076a53e8df7329e876f8bda244c!/L5638196-L5638257,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/MK097013,SAV:423OBI1,"Alyssum wulfenianum subsp. ovirense clone 423OBI1_ribotype2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",https://linker.bio/line:gz:hash://sha256/f1ad641a935d65f60519263a905c49ce54d10076a53e8df7329e876f8bda244c!/L5638258-L5638319,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/MK097014,SAV:423OBI2,"Alyssum wulfenianum subsp. ovirense clone 423OBI2_ribotype1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",https://linker.bio/line:gz:hash://sha256/f1ad641a935d65f60519263a905c49ce54d10076a53e8df7329e876f8bda244c!/L5638320-L5638381,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/MK097015,SAV:423OBI2,"Alyssum wulfenianum subsp. ovirense clone 423OBI2_ribotype2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.",https://linker.bio/line:gz:hash://sha256/f1ad641a935d65f60519263a905c49ce54d10076a53e8df7329e876f8bda244c!/L5638382-L5638443,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/MK164778,SAV:423OBI1,"Alyssum wulfenianum subsp. ovirense voucher SAV:423OBI1 de-etiolated protein 1 (DET1) gene, DET1-423OBI1_al1 allele, partial cds.",https://linker.bio/line:gz:hash://sha256/f1ad641a935d65f60519263a905c49ce54d10076a53e8df7329e876f8bda244c!/L7026964-L7027027,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/MK164779,SAV:423OBI1,"Alyssum wulfenianum subsp. ovirense voucher SAV:423OBI1 de-etiolated protein 1 (DET1) gene, DET1-423OBI1_al2 allele, partial cds.",https://linker.bio/line:gz:hash://sha256/f1ad641a935d65f60519263a905c49ce54d10076a53e8df7329e876f8bda244c!/L7027028-L7027091,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/MK164780,SAV:423OBI2,"Alyssum wulfenianum subsp. ovirense voucher SAV:423OBI2 de-etiolated protein 1 (DET1) gene, DET1-423OBI2_al1 allele, partial cds.",https://linker.bio/line:gz:hash://sha256/f1ad641a935d65f60519263a905c49ce54d10076a53e8df7329e876f8bda244c!/L7027092-L7027155,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/MK164781,SAV:423OBI2,"Alyssum wulfenianum subsp. ovirense voucher SAV:423OBI2 de-etiolated protein 1 (DET1) gene, DET1-423OBI2_al2 allele, partial cds.",https://linker.bio/line:gz:hash://sha256/f1ad641a935d65f60519263a905c49ce54d10076a53e8df7329e876f8bda244c!/L7027156-L7027219,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]44899[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=214463,https://www.ncbi.nlm.nih.gov/nuccore/MT735449,A.C. Sanders et al. 6885 (OBI044899),"Angelica scabrida voucher A.C. Sanders et al. 6885 (OBI044899) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2247286-L2247339,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]44899[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=214463,https://www.ncbi.nlm.nih.gov/nuccore/MT765845,A.C. Sanders et al. 6885 (OBI044899),"Angelica scabrida A.C. Sanders et al. 6885 (OBI044899) ndhF-rpl32 intergenic spacer, partial sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2928607-L2928664,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]44899[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=214463,https://www.ncbi.nlm.nih.gov/nuccore/MT766024,A.C. Sanders et al. 6885 (OBI044899),"Angelica scabrida A.C. Sanders et al. 6885 (OBI044899) tRNA-Asp (trnD-GUC), tRNA-Tyr (trnY-GUA), tRNA-Glu (trnE-UUC), and tRNA-Thr (trnT-GGU) genes, complete sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2944464-L2944579,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]44899[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=214463,https://www.ncbi.nlm.nih.gov/nuccore/MT766162,A.C. Sanders et al. 6885 (OBI044899),"Angelica scabrida A.C. Sanders et al. 6885 (OBI044899) rpl32-trnL intergenic spacer and tRNA-Leu (trnL) gene, partial sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2956987-L2957040,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]71409[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=166207,https://www.ncbi.nlm.nih.gov/nuccore/MT735443,D. Keil 21070 (OBI071409),"Angelica lineariloba voucher D. Keil 21070 (OBI071409) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2246961-L2247014,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]71409[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=166207,https://www.ncbi.nlm.nih.gov/nuccore/MT765841,D. Keil 21070 (OBI071409),"Angelica lineariloba D. Keil 21070 (OBI071409) ndhF-rpl32 intergenic spacer, partial sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2928374-L2928431,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]71409[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=166207,https://www.ncbi.nlm.nih.gov/nuccore/MT766022,D. Keil 21070 (OBI071409),"Angelica lineariloba D. Keil 21070 (OBI071409) tRNA-Asp (trnD-GUC), tRNA-Tyr (trnY-GUA), tRNA-Glu (trnE-UUC), and tRNA-Thr (trnT-GGU) genes, complete sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2944232-L2944347,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]71409[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=166207,https://www.ncbi.nlm.nih.gov/nuccore/MT766158,D. Keil 21070 (OBI071409),"Angelica lineariloba D. Keil 21070 (OBI071409) rpl32-trnL intergenic spacer and tRNA-Leu (trnL) gene, partial sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2956769-L2956822,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]71409[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=166207,https://www.ncbi.nlm.nih.gov/nuccore/MT735443,D. Keil 21070 (OBI071409),"Angelica lineariloba voucher D. Keil 21070 (OBI071409) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2246961-L2247014,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]71409[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=166207,https://www.ncbi.nlm.nih.gov/nuccore/MT765841,D. Keil 21070 (OBI071409),"Angelica lineariloba D. Keil 21070 (OBI071409) ndhF-rpl32 intergenic spacer, partial sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2928374-L2928431,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]71409[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=166207,https://www.ncbi.nlm.nih.gov/nuccore/MT766022,D. Keil 21070 (OBI071409),"Angelica lineariloba D. Keil 21070 (OBI071409) tRNA-Asp (trnD-GUC), tRNA-Tyr (trnY-GUA), tRNA-Glu (trnE-UUC), and tRNA-Thr (trnT-GGU) genes, complete sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2944232-L2944347,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]71409[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=166207,https://www.ncbi.nlm.nih.gov/nuccore/MT766158,D. Keil 21070 (OBI071409),"Angelica lineariloba D. Keil 21070 (OBI071409) rpl32-trnL intergenic spacer and tRNA-Leu (trnL) gene, partial sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2956769-L2956822,
yes,,,,https://www.ncbi.nlm.nih.gov/nuccore/JF951063,D. Keil s.n. (OBI),"Phalaris californica isolate CAL1ITS 5.8S ribosomal RNA gene and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/80f3e67d9a954cc8ca7223a10d1951c1ff84ca2844e7840bcb32eeac61181964!/L1400532-L1400572,
yes,,,,https://www.ncbi.nlm.nih.gov/nuccore/JF951063,D. Keil s.n. (OBI),"Phalaris californica isolate CAL1ITS 5.8S ribosomal RNA gene and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/80f3e67d9a954cc8ca7223a10d1951c1ff84ca2844e7840bcb32eeac61181964!/L1400532-L1400572,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]68349[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=166208,https://www.ncbi.nlm.nih.gov/nuccore/MT707551,D. Keilet al. 30299 (OBI068349),"Lomatium dissectum voucher D. Keilet al. 30299 (OBI068349) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L1304167-L1304221,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]68349[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=166208,https://www.ncbi.nlm.nih.gov/nuccore/MT765778,D. Keilet al. 30299 (OBI068349),"Lomatium dissectum D. Keilet al. 30299 (OBI068349) ndhF-rpl32 intergenic spacer, partial sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2924723-L2924780,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]68349[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=166208,https://www.ncbi.nlm.nih.gov/nuccore/MT766091,D. Keilet al. 30299 (OBI068349),"Lomatium dissectum D. Keilet al. 30299 (OBI068349) tRNA-Asp (trnD-GUC), tRNA-Tyr (trnY-GUA), tRNA-Glu (trnE-UUC), and tRNA-Thr (trnT-GGU) genes, complete sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2952211-L2952322,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]68349[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=166208,https://www.ncbi.nlm.nih.gov/nuccore/MT766279,D. Keilet al. 30299 (OBI068349),"Lomatium dissectum D. Keilet al. 30299 (OBI068349) rpl32-trnL intergenic spacer and tRNA-Leu (trnL) gene, partial sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2963685-L2963743,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]68349[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=166208,https://www.ncbi.nlm.nih.gov/nuccore/MT707551,D. Keilet al. 30299 (OBI068349),"Lomatium dissectum voucher D. Keilet al. 30299 (OBI068349) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L1304167-L1304221,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]68349[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=166208,https://www.ncbi.nlm.nih.gov/nuccore/MT765778,D. Keilet al. 30299 (OBI068349),"Lomatium dissectum D. Keilet al. 30299 (OBI068349) ndhF-rpl32 intergenic spacer, partial sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2924723-L2924780,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]68349[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=166208,https://www.ncbi.nlm.nih.gov/nuccore/MT766091,D. Keilet al. 30299 (OBI068349),"Lomatium dissectum D. Keilet al. 30299 (OBI068349) tRNA-Asp (trnD-GUC), tRNA-Tyr (trnY-GUA), tRNA-Glu (trnE-UUC), and tRNA-Thr (trnT-GGU) genes, complete sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2952211-L2952322,
yes,,"preston dwc-stream | grep -E ""[^0-9a-zA-Z]68349[^0-9]""",https://cch2.org/portal/collections/individual/index.php?occid=166208,https://www.ncbi.nlm.nih.gov/nuccore/MT766279,D. Keilet al. 30299 (OBI068349),"Lomatium dissectum D. Keilet al. 30299 (OBI068349) rpl32-trnL intergenic spacer and tRNA-Leu (trnL) gene, partial sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2963685-L2963743,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/otherCatalogNumbers""] == ""13881"")'",https://cch2.org/portal/collections/individual/index.php?occid=214465,https://www.ncbi.nlm.nih.gov/nuccore/MT735479,D. Smith 203 (OBI13881),"Angelica lucida voucher D. Smith 203 (OBI13881) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2248915-L2248968,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/otherCatalogNumbers""] == ""13881"")'",https://cch2.org/portal/collections/individual/index.php?occid=214465,https://www.ncbi.nlm.nih.gov/nuccore/MT765849,D. Smith 203 (OBI13881),"Angelica lucida D. Smith 203 (OBI13881) ndhF-rpl32 intergenic spacer, partial sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2928839-L2928895,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/otherCatalogNumbers""] == ""13881"")'",https://cch2.org/portal/collections/individual/index.php?occid=214465,https://www.ncbi.nlm.nih.gov/nuccore/MT766044,D. Smith 203 (OBI13881),"Angelica lucida D. Smith 203 (OBI13881) tRNA-Asp (trnD-GUC), tRNA-Tyr (trnY-GUA), tRNA-Glu (trnE-UUC), and tRNA-Thr (trnT-GGU) genes, complete sequence.",https://linker.bio/line:gz:hash://sha256/e3942437346ab41ff9985857ae067d5a5c404e6a205e05c6fbeabee88a9fe0c3!/L2946780-L2946894,
